semester_code,class_number,course_code,assessment_title,learning_outcomes,notes
7560,60592,ECON7000,CLEAR-JE No.5,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7520 (scraped): the 7560 profile shows LO1, LO2, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60592,ECON7000,CLEAR-JE No.6,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7520 (scraped): the 7560 profile shows LO1, LO2, LO5, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60757,ECON7002,"Author, Moderate and Answer Questions via RiPPLE","LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60757,ECON7002,Markets in Action,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60757,ECON7002,End-of-Semester Exam,"LO1, LO2, LO3, LO4, LO5, LO6","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60593,ECON7300,Pre-lecture Quizzes,"LO1, LO2, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60593,ECON7300,Project,"LO2, LO3","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60593,ECON7300,End-of-semester Exam,"LO1, LO2, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7620,20320,EIBS7301,Idea Management Examination,"LO1, LO2, LO3, LO5","Carried forward from 7520 (scraped): the 7620 profile shows LO1, LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60395,EIBS7303,Building Innovation Capability,"LO1, LO2, LO3, LO4","Carried forward from 7460 (scraped): the 7560 profile shows LO1, LO2, LO4, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62231,ENVM7524,Quiz 1,"LO1, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62231,ENVM7524,Case Study on Carbon Management,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62231,ENVM7524,Quiz 2,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62279,ENVM7524,Quiz 1,"LO1, LO3, LO4","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62279,ENVM7524,Case Study on Carbon Management,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,62279,ENVM7524,Quiz 2,"LO1, LO2, LO3, LO4, LO5","Carried forward from 7560 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60408,FINM3414,In-Semester Examination,"LO1, LO2, LO3, LO4","Carried forward from 7460 (scraped): the 7560 profile shows LO1, LO2, LO3, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7560,60208,FINM6403,Article review,"LO1, LO2, LO3","Carried forward from 7460 (scraped): the 7560 profile shows LO1, LO2, a partial drop by the publishing fault. Confirm in Jac if the mapping changed."
7660,60428,FINM7407,In-Semester Examination,"LO1, LO2, LO3, LO4","Carried forward from 7620 (override): the 7660 profile shows no mapping, a whole drop by the publishing fault. Confirm in Jac if the mapping changed."
